Unique ID,Capture Date,Fate Date,Collar On Days,Fate,Cause Specific Mortality,Sex,Age at capture,Age at death,UTM E,UTM N,Study Area,Study Section
163,1/13/2015,5/31/2016,504,,,f,2.5,,,,Bear Island,Bear Island Hinson
164,1/15/2015,5/31/2016,502,,,f,2.0,,,,Bear Island,Bear Island Hinson
165,1/15/2015,5/31/2016,502,,,f,2.0,,,,Add Lands,Add Lands Bakers
166,1/13/2015,5/31/2016,504,,,f,2.0,,,,Bear Island,Bear Island Hinson
167,1/14/2015,6/26/2015,163,dead,probable predation - panther,f,2.5,3,470778,2895967,Bear Island,Bear Island Hinson
168,1/18/2015,8/4/2015,198,dead,euthanized - pathology HD,f,5,5.5,473503,2898263,Bear Island,Bear Island grid
169,1/15/2015,9/18/2015,246,dead,probable predation -  panther,f,5,5.5,473989,2898791,Bear Island,Bear Island grid
170,1/15/2015,1/16/2015,1,dead,capture myopathy,m,2.5,2.5,,,Bear Island,Bear Island grid
171,1/14/2015,5/31/2016,503,,,f,2.5,,,,Bear Island,Bear Island grid
172,1/14/2015,5/31/2016,503,,,f,3.0,,,,Bear Island,Bear Island Hinson
173,1/13/2015,8/14/2015,213,dead,probable predation - panther,f,2.5,3,472666,2895707,Bear Island,Bear Island Hinson
174,1/14/2015,8/20/2015,218,dead,confirmed predation - panther,m,1.5,2,470762,2897763,Bear Island,Bear Island Hinson
175,1/15/2015,2/27/2015,43,dead,confirmed predation - panther,m,5,5,469010,2896944,Bear Island,Bear Island Hinson
176,1/14/2015,6/15/2015,152,unknown,,m,3.0,,470495,2898549,Bear Island,Bear Island Hinson
177,1/13/2015,4/16/2015,93,dead,probable predation - panther,f,2.5,2.5,470834,2897426,Bear Island,Bear Island Hinson
178,1/15/2015,5/31/2016,502,,,m,2.5,,,,Bear Island,Bear Island Hinson
179,1/16/2015,5/31/2016,501,,,m,2.0,,,,Bear Island,Bear Island grid
180,1/16/2015,1/22/2016,371,dead,intestinal twist,f,1.5,2.5,,,Bear Island,Bear Island grid
181,1/18/2015,2/28/2015,41,dead,probable predation - panther,f,6.5,6.5,482605,2899812,Bear Island,Bear Island grid
182,1/19/2015,11/21/2015,306,dead,probable predation - unknown predator,f,3.5,4.5,479627,2901069,Bear Island,Bear Island grid
183,1/17/2015,5/31/2016,500,,,f,3.0,,,,Add Lands,Add Lands Nobels
184,1/17/2015,5/31/2016,500,,,f,5.0,,,,Add Lands,Add Lands Bakers
185,1/18/2015,3/24/2015,65,dead,confirmed predation - panther,f,5.5,5.5,480446,2901018,Bear Island,Bear Island grid
186,1/16/2015,5/31/2016,501,,,m,2.5,,,,Bear Island,Bear Island Hinson
187,1/19/2015,8/16/2015,209,dead,confirmed predation - panther,m,2,2.5,478941,2903317,Bear Island,Bear Island grid
188,1/16/2015,1/3/2016,352,dead,confirmed predation - panther,f,1.5,2.5,480691,2897608,Bear Island,Bear Island grid
189,1/19/2015,5/31/2016,498,,,f,4.0,,,,Bear Island,Bear Island grid
190,1/19/2015,2/17/2016,394,dead,confirmed predation - bobcat,m,2,3,,,Bear Island,Bear Island grid
191,1/18/2015,5/31/2016,499,,,m,3.0,,,,Bear Island,Bear Island grid
192,1/19/2015,3/27/2016,433,dead,confirmed predation - panther,f,5,5,,,Bear Island,Bear Island grid
193,1/18/2015,1/31/2015,13,dead,capture myopathy,m,3,3,483205,2900614,Add Lands,Add Lands Bakers
194,1/17/2015,5/31/2016,500,,,f,3.0,,,,Add Lands,Add Lands Bakers
195,1/17/2015,11/16/2015,303,dead,confirmed predation - panther,f,2,3,483961,2901504,Add Lands,Add Lands Bakers
196,1/19/2015,5/31/2016,498,,,m,1.5,,,,Bear Island,Bear Island grid
197,1/19/2015,5/31/2016,498,,,m,3.0,,,,Bear Island,Bear Island grid
198,1/16/2015,9/26/2015,253,dead,probable predation - panther,m,4,4.5,481201,2901673,Add Lands,Bear Island grid
199,1/13/2015,1/30/2015,17,dead,probable predation - panther,m,3,3,469732,2894045,Bear Island,Bear Island Hinson
200,1/13/2015,5/31/2016,504,,,f,3.5,,,,Bear Island,Bear Island Hinson
201,1/19/2015,5/31/2016,498,,,f,1.0,,,,Bear Island,Bear Island grid
202,1/18/2015,3/25/2015,66,dead,probable predation - panther,f,2,2,482925,2901395,Add Lands,Add Lands Bakers
203,1/19/2015,11/1/2015,286,dead,unknown,f,2,3,474312,2898904,Bear Island,Bear Island grid
204,1/18/2015,12/22/2015,338,dead,confirmed predation - panther,m,2,3,,,Add Lands,Add Lands Bakers
205,1/18/2015,5/18/2016,486,dead,confirmed predation - panther,m,3,3.5,,,Bear Island,Bear Island grid
206,1/19/2015,5/31/2016,498,,,f,3.0,,,,Bear Island,Bear Island Hinson
211,5/4/2015,5/31/2016,393,,,f,3.0,,,,FPNWR,FPNWR west
212,5/4/2015,5/15/2015,11,dead,probable predation - panther,f,1,1,455620,2895811,FPNWR,FPNWR west
213,5/13/2015,5/31/2016,384,,,f,2.0,,,,FPNWR,FPNWR west
214,5/2/2015,2/22/2016,296,dead,confirmed predation - panther,f,2,3,,,FPNWR,FPNWR west
216,5/12/2015,5/31/2016,385,unknown,,f,3.0,,,,FPNWR,FPNWR west
218,5/14/2015,5/23/2015,9,lost collar,,f,1.5,,453269,2893290,FPNWR,FPNWR west
219,5/11/2015,6/21/2015,41,dead,confirmed predation - panther,m,5,5,454749,2896691,FPNWR,FPNWR west
220,5/12/2015,5/31/2016,385,,,f,2.0,,,,FPNWR,FPNWR west
221,5/12/2015,5/31/2016,385,,,f,2.0,,,,FPNWR,FPNWR west
222,5/1/2015,11/14/2015,197,dead,probable predation - unknown predator,m,2.5,3,454231,2893694,FPNWR,FPNWR west
223,5/10/2015,5/31/2016,387,,,f,3.0,,,,FPNWR,FPNWR west
224,5/2/2015,5/31/2016,395,,,f,1.5,,,,FPNWR,FPNWR west
225,6/12/2015,2/15/2016,248,dead,panther confounded by leg stuck in collar,f,3.5,4,,,FPNWR,FPNWR west
227,6/24/2015,1/30/2016,220,dead,confirmed predation- panther,f,6,6.5,,,FPNWR,FPNWR west
228,6/24/2015,5/31/2016,342,,,f,2.5,,,,FPNWR,FPNWR west
230,6/26/2015,5/31/2016,340,unknown,,m,2.5,,,,FPNWR,FPNWR west
231,12/29/2015,5/31/2016,154,,,m,4.0,,,,FPNWR,FPNWR west
232,12/29/2015,5/31/2016,154,,,m,2.0,,,,FPNWR,FPNWR west
